#OTU ID	normal_4	model_2	normal_2	normal_3	normal_5	betaine_1	betaine_2	betaine_3	betaine_5	model_1	model_3	model_4	model_5	betaine_4	normal_1	Taxonomy
OTU3341	2.0	21.0	30.0	19.0	69.0	34.0	19.0	7.0	13.0	10.0	11.0	9.0	9.0	8.0	10.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU3342	0.0	0.0	0.0	0.0	1.0	17.0	12.0	0.0	0.0	0.0	53.0	8.0	21.0	1.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3345	0.0	0.0	0.0	0.0	1.0	64.0	11.0	0.0	0.0	0.0	2.0	3.0	5.0	0.0	1.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3346	0.0	0.0	0.0	0.0	4.0	73.0	26.0	0.0	0.0	0.0	30.0	30.0	13.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3347	3.0	9.0	8.0	27.0	0.0	8.0	1.0	14.0	6.0	2.0	0.0	24.0	1.0	16.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU3348	3.0	0.0	5.0	21.0	1.0	53.0	21.0	20.0	16.0	1.0	5.0	35.0	15.0	20.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU3349	31.0	16.0	7.0	8.0	7.0	197.0	67.0	20.0	14.0	36.0	67.0	59.0	11.0	46.0	17.0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae
OTU335	1.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3350	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
OTU3351	47.0	8.0	2.0	1.0	1.0	38.0	1.0	8.0	4.0	10.0	9.0	2.0	5.0	13.0	18.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
